FRP,MOp,MOs,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSs,GU,VISC,AUDd,AUDp,AUDv,VISal,VISam,VISl,VISp,VISpl,VISpm,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,TEa,PERI,ECT,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,ENTl,ENTm,PAR,POST,PRE,SUBd,SUBv,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,AAA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,VAL,VM,VPL,VPM,VPMpc,SPFm,SPFp,SPA,PP,MGd,MGv,MGm,LGd,LP,PO,POL,AV,AMd,AMv,AD,LD,IMD,MD,SMT,PVT,PT,RE,RH,CM,CL,PF,RT,LGv,MH,LH,PVH,ARH,DMH,MEPO,MPO,PVp,PVpo,SBPV,AHN,MM,SUM,MPN,PMd,VMH,PH,LHA,LPO,RCH,STN,TU,SCs,ICc,ICd,ICe,SNr,VTA,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,CUN,RN,SNc,PPN,IPN,CLI,DR,NLL,PSV,PB,SOC,PCG,PG,PRNc,SUT,TRN,V,CS,NI,PRNr,DCO,VCO,NTS,SPVC,SPVI,SPVO,VII,AMB,GRN,IO,IRN,LRN,MARN,MDRNd,MDRNv,PARN,PGRNd,PGRNl,PRP,LAV,MV,SPIV,SUV,XII,RM,CENT,CUL,PYR,NOD,SIM,AN,PRM,PFL,FL,FN,IP,DN
0.359650348,6.852934276,8.521451809,0,0,0,0,0,0,0,1.028996476,0,0,0,0,0,0,0,0,0,0,0,0,0.448904139,0,0,0,0,4.068047785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337082643,0,0,0,0,0,0,20.42150696,0,0,0,0,0,0,0,0,0,0,0,1.383545529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03508123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01614734,0.700050385,0.287701548,0.200722733,0.305427917,0.040966835,0.517740991,0.425012404,0.010346886,0.490743762,0.218852569,0.105516882,0,0,0.004797887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008109486,0,0.004487507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042347425,0.007812731,0,0,0,0,0,2.979688913,0,0.009989101,0,0,0,0,0,0,0.027715316,0.001832606,0,0.229198298,0.046441475,0,0,0,0,0,0,0.269792314,0.061018543,0.032830304,0.096248658,0.03412282,0,0.015309618,0,0,0,0,0,0,0,0.049742703,0.001086687,0,0,0,0,0,0.003769576,0.04896796,0.002361488,0,0,0,0.003310142,0.038644543,0.01060064,0.086368812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032190715,0,0,0,0,0,0.144502888,0,0.011039069,0.470510753,0,0,0,0,0,0,0,0,0.045995438,0.005148485,0,0.000829032,0.001040527,0,0.00551478,0.017027544,0.001040492,0,0.081910632,0.068415231,0.00931012,0.019958419,0.009095808,0.014622031,0,0.050102922,0,0,0.006910331,0,0.004289165,0.00690476,0.005006704,0,0.102207003,0,0.081237685,0,0.036208285,0.001848836,0.011688614,0.064186038,0.003046022,0.006757088,0,0,0,0,0,0.001904899,0.001277117,0,0,0,0,0,0,0,0,0,0,0,0
0.026308469,0.71546543,0.766859198,0,0,0,0,0,0,0,0,0,0.096419451,0,0.037920994,0.139234528,0,0,0.097865801,0,0,0,0,0,0,0.195970922,0,0.047453936,0.025208744,0,0.027679121,0,0,0,0,0.061922622,0.026755644,0.065530258,0,0.015631102,0.029875493,0.015792995,0.004636869,0.052266963,0,0,0,0,0,0,0,0,0,0.051188942,0,0,0,0,0,0,0.051588346,0.026384177,0,0,0,0,0,2.054376149,0.11352735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088736228,0,0,0,0,0,0.002310169,0,0,0,0,0,0,0,0,0,0.032559023,0.011279684,0,0,0.004112327,0.159692271,0.020810595,0,0,0.011473899,0.011895768,0.014234048,0.040442447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328661571,0,0.152645246,0,0,0,0,0,0,0,0.015852664,0,0,0.000812283,0,0,0,0,0.010276655,0.045555791,0.068952524,0,0.03508897,0,0.013528173,0.000883324,0.102504055,0,0,0,0,0,0,0,0,0,0,0,0.002414244,0.01570055,0,0.005256655,0,0,0.005274725,0.001210189,0,0,0,0,0,0.000797608,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.114731857,0,0.319676641,0,0,0.383012454,0.214072572,0.262145636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958132,0,0,0,0,0.00130793,0,0,0,0,0,0,0,0,0.004151294,0.004639978,0.012484811,0.012653688,0,0,0,0,0,0,0.019202539,0.00098496,0,0.022718231,0,0,0,0,0,0,0,0,0.00058458,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.635017188,0,1.182229505,0,0,0,0,0,0,0,0.196712173,0,0.079813481,0.088056258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002471408,0,0,0,0,0,0.127575264,0.032992069,0.071293528,0,0,0,0,0,0.024424282,0,0,0,0,0,0,0,0,0,0.045654694,0,0,0,0,0,0,0.011018106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005610979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004744084,0,0.001278054,0,0,0.015976247,0,0,0,0,0,0,0,0,0,0.001585632,0.002291819,0.00022063,0,0,0,0,0.001952275,0.000743438,0.011872346,0.000182233,0,0,0,0.002423654,0.002731689,0,0,0,0,0,0.000290692,0,0,0,0,0,0,0,0.002715996,0,0,0,0
0,0,0,0,0,0.225355276,0,0,0.739156385,0,0,0,0.202871737,0.218855565,0.156234635,0,0,0,0,0,0,0.133921433,0.026882673,0,0,0,0,0.039786031,0,0,0.004990257,0,0,0,0.10012598,0.073663786,0.014767644,0.026871128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174680835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01853351,0,0,0,0.045437201,0,0.013726376,0.003425831,0,0,0,0.003823293,0,0,0,0,0,0,0,0,0.009287711,0.035481014,0,0,0,0,0.012159579,0.006500974,0,0.010229509,0.00154256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.024566843,1.25797724,0.391631041,0.223080402,0,0,0.898686063,0.650410838,0,0.606087189,0,0.146389674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905557,0.005134442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020892126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000953632,0,0,0,0,0,0,0,0.000772682,0,0.004540083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.160082317,0.266870094,0,0.584574589,0,0.091839886,0.655144343,0,0.438054767,0,0.019383962,0,0,0.227774313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014630861,0.020465351,0.019666022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02338217,0,0,0,0,0,0,2.313531998,0,0,0,0,0,0,0,0,0,0,0,0.103452281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001009696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00111748,0.001120221,0,0,0.023419969,0,0.006516437,0,0,0.000192089,0.003776771,0.00164919,0.001328081,0,0,0,0,0,0,0,0.000421102,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.503449795,0,0,0.422787645,0,0,0,0.28637347,0.182105612,0.136896782,0.072783704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231507044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005679131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001742863,0.000190332,0.000887883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.304488081,0.901442818,0,0,0.569561996,0,0.82204246,0,0.368155024,0,0,0.037101143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020799472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002872942,0,0.000635896,0,0.033291093,0.009555492,0,0,0,0,0,0,0,0,0.000465872,0.00067726,0.002312048,0.003740955,0,0,0.01201466,0,0,0,0.015340902,0.00057944,0,0.006415296,0,0,0,0,0,0,0,0,0.000398338,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.088620511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067186985,0.117247857,0,0,0.081237702,0.005263975,0,0.015590475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03651169,0.19729983,0.019690651,0.027477385,0,0,0.018759619,0.093256569,0,0.089391543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027456493,0,0,0,0,0,0,0,0,0,0,0,0,0.03798849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022888377,0.025777407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060539216,0,0,0,0,0,0,0,0,0.000441319,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.853318846,0,0,0,0.929746806,1.149035778,0.869961896,0.449252564,0.275967457,0.139676527,0.266592137,0,0.034920688,0,0,0,0,0,0,0,0,0,0,0,0,0,1.122120995,0.738675318,0,0.220850385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146636847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
