FRP,MOp,MOs,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSs,GU,VISC,AUDd,AUDp,AUDv,VISal,VISam,VISl,VISp,VISpl,VISpm,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,TEa,PERI,ECT,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,ENTl,ENTm,PAR,POST,PRE,SUBd,SUBv,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,AAA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,VAL,VM,VPL,VPM,VPMpc,SPFm,SPFp,SPA,PP,MGd,MGv,MGm,LGd,LP,PO,POL,AV,AMd,AMv,AD,LD,IMD,MD,SMT,PVT,PT,RE,RH,CM,CL,PF,RT,LGv,MH,LH,PVH,ARH,DMH,MEPO,MPO,PVp,PVpo,SBPV,AHN,MM,SUM,MPN,PMd,VMH,PH,LHA,LPO,RCH,STN,TU,SCs,ICc,ICd,ICe,SNr,VTA,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,CUN,RN,SNc,PPN,IPN,CLI,DR,NLL,PSV,PB,SOC,PCG,PG,PRNc,SUT,TRN,V,CS,NI,PRNr,DCO,VCO,NTS,SPVC,SPVI,SPVO,VII,AMB,GRN,IO,IRN,LRN,MARN,MDRNd,MDRNv,PARN,PGRNd,PGRNl,PRP,LAV,MV,SPIV,SUV,XII,RM,CENT,CUL,PYR,NOD,SIM,AN,PRM,PFL,FL,FN,IP,DN
0.017611352,0.335574367,0.417278305,0,0,0,0,0,0,0,0.050387882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199204094,0,0.020041002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016506257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.067749434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001717857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000790703,0.034280055,0.014088164,0.009828987,0.014956189,0.002006063,0.025352732,0.020812,0,0.024030732,0.010716769,0.005166949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005427055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002073668,0,0,0,0,0,0,0.145909355,0,0.000489146,0,0,0,0,0,0,0.001357163,0,0,0.011223378,0.002274145,0.002056493,0,0,0,0,0,0.013211185,0.002987955,0.001607634,0.004713103,0.001670926,0,0.000749681,0,0,0,0,0,0,0,0.0024358,0,0,0,0,0,0,0.000184589,0.002397862,0,0,0,0,0.000162091,0.001892345,0.000519092,0.004229306,0.002907516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001576314,0,0,0,0,0,0.007076015,0.001547595,0.000540561,0.023039962,0.009940065,0,0.001080193,0,0.000187314,0.000281997,0,0.00066488,0.002252304,0,0.000115378,4.06E-05,5.10E-05,0,0,0.000833804,0,0,0.004010998,0.003350156,0.000455898,0.000977324,0.000445403,0.000716011,0,0.002453439,0,0,0.000338385,0,0,0.000338112,0,0,0.005004871,0.000606892,0.003978046,0,0.001773047,0,0.000572368,0.003143061,0.000149158,0.000330881,0,0,0,0,0,0,6.25E-05,0,0,0,0,0,0,0,0,0,0,0,0
0.001288273,0.035034899,0.037551548,0,0.012597126,0.007857732,0,0,0.012764506,0,0,0,0.004721466,0,0.001856915,0.006818034,0,0,0.004792291,0,0,0.004295284,0,0,0,0.009596301,0,0.002323724,0,0,0,0,0,0,0.006941382,0.003032226,0.00131017,0.003208885,0,0.000765424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002526177,0,0,0,0,0,0,0.100598656,0,0,0,0,0,0,0,0,0,0,0,0.001517556,0,0,0,0,0,0,0,0.006215008,0.004345234,0.000980805,0,0,0,0.000402195,0.000113124,0,0,0,0,0,0,0.005120454,0.000274442,0.000372801,0.00159435,0.000552343,0,0,0.000201372,0.007819808,0.001019053,0,0,0,0.000582512,0.000697013,0.001980385,0.00137073,0.003108717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982203,0,0,0,0,0,0.002566604,0.002057622,0.000752766,0.016093894,0.015763822,0.00747473,0.002010898,0,0.000234965,0.001089983,0,0,0.000779653,0.000776273,0.000123764,0,3.98E-05,0,0,0.000475301,0,0.000503227,0.002230775,0.003376466,0,0.001718236,0,0.000662447,0,0.005019417,0,0,0,0,0,0,0,0,0,0,0,0,0.000768824,0,0,0,0,0,0,0,0,0,0.000132103,0,3.91E-05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.01565392,0,0,0.018755347,0.010482702,0.012836743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078095118,0,0,0,0,0,0,0,0,0,0,0,0,0.003965273,0,0,0,0,0,0,0.005743208,0,0,0.006187737,0.002957553,0,0.000924144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002665572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004187026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00302829,0,0,0,0,0,0,0,0,0,0,0,0,0.000619626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000746548,0.042347679,0.031095511,0,0.057891394,0.006122217,0,0.015676099,0.018287424,0.023074998,0,0,0.009632598,0,0.003908305,0.004311937,0,0,0,0,0,0,0,0,0,0.002257364,0,0.002081233,0,0,0,0,0,0,0.004788325,0.006247103,0.001615555,0.0034911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065624389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000842477,0.005157223,0.010189708,0,0,0.001465157,0,0.000287988,0,0,0.000432647,0,0,0.008098621,0.000745,0,0,0,0,0,0,0,0.000451911,0,0,0,0.000274758,0,0.000590782,0.000847315,0.003748762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001134888,0,0.000363941,0.011839695,0.016175998,0,0.003950736,0,0.000331921,0.000892189,0,0,0,0,0,0,0,0,0,0,0,0,0.002147596,0,0,0.000877802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000581365,0,0,0,0,0,0.000133765,0,0,0,0,0,1.42E-05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.017784397,0,0,0.011035193,0,0,0.036194997,0,0,0,0.00993422,0.010716916,0.007650495,0,0,0,0,0,0,0.006557862,0,0,0,0,0,0.001948242,0,0,0,0,0,0,0.004902967,0.003607167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034432965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007604774,0,0,8.61E-05,0.001110464,0,0,0,0,0.000253956,0,0.001206031,0.005802589,0.000660236,0,0.000484257,0.000118291,0,0,0,0,0,0,0,0,0.000172134,0,0.000774577,0,0.005656169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001899386,0.001831018,0,0,0,0,0.008553768,0.00421665,0,0.000184853,0.001295617,0,0.001783595,0,0.00085833,0,0,0,0,0,0,0,0.000907549,0.001133941,0.002416659,0,0.002224968,0,0.000672153,0.000167756,0.007073733,0,0,0,0,0,0,0,0,0,0.00088549,0,0.0004548,0.001737434,0,0,0,0,0.00059543,0.00031834,0,0.000500918,0,0.000177386,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0
0.001202989,0.061600608,0.019177382,0.010923797,0,0,0.044006844,0.031849307,0,0.029678867,0,0.007168407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079656495,0,0,0,0,0,0,0,0,0,0,0,0.007973344,0.003843353,0,0,0,0,0,0,0.013437494,0,0.001878662,0.006766981,0.001273733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001647173,0.003728702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000654553,0,0,0,0,0,0.002188863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001273722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000449975,0.056806891,0.01306809,0,0.028625438,0.010794379,0.004497214,0.032081097,0,0.021450658,0,0,0,0,0.011153649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001144978,0,0,0,0,0,0,0.113288995,0,0,0,0,0,0,0,0,0,0,0,0.00506585,0.001029907,0,0,0,0,0,0,0.006677024,0.001041854,0.003532826,0.006481768,0,0,0,0,0,0,0,0,0,0,0.004101197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002685742,0.002073256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000948837,0,0,0,0,0,0.004774409,0,0,0.012289486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002540518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00063026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06E-05,0,0,0,0,0,0,0,0,0,0,0,0
0,0.022038835,0.015335859,0,0.009360017,0.024652921,0,0,0.020703058,0,0,0,0.014023131,0.008917344,0.006703559,0.003564071,0,0,0,0,0,0.003968354,0,0,0,0,0,0.001764153,0,0,0,0,0,0,0.011336433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055402545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00103492,0.008387475,0.002759003,0,0,0.00136364,0,0.000195474,0,0,0.00048589,0.000323366,0.002591563,0.008765219,0.000887773,0,0,0.000142726,0,0.00189018,0,0,0.000532817,0,0,0,0.000278096,0,0.000804051,0,0.00732843,0.000465103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002405126,0.001439039,0,0,0.008775049,0.021338112,0.006058902,0.006593799,0,0.000461067,0.001181926,0,0.00063081,0,0,0,0,0,0,0,0,0,0.000309841,0.001961924,0,0,0.000898644,0,0.000391908,8.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000619232,0.040553111,0.012266871,0.014910167,0.044141836,0.004890328,0.038101416,0.027890302,0,0.040253761,0.008801932,0.018027809,0,0,0.001816768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005173887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002329885,0,0,0,0,0,0,0.081534939,0,0,0,0,0,0,0,0,0,0,0,0.006733712,0.001349429,0,0,0,0,0,0,0.00665374,0.000855387,0.004796919,0.012605169,0.001862424,0,0.000766063,0,0,0,0,0.000342033,0,0,0.005664537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000356651,0.002056621,0.002741984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451033,0,0,0,0,0,0,0,0,0.008662746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001630198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000751213,0,0,0,0,0,0,0,0,0,0,0,1.95E-05,0,0,0,0,0,0,0,0,0,0,0,0
