FRP,MOp,MOs,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSs,GU,VISC,AUDd,AUDp,AUDv,VISal,VISam,VISl,VISp,VISpl,VISpm,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,TEa,PERI,ECT,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,ENTl,ENTm,PAR,POST,PRE,SUBd,SUBv,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,AAA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,VAL,VM,VPL,VPM,VPMpc,SPFm,SPFp,SPA,PP,MGd,MGv,MGm,LGd,LP,PO,POL,AV,AMd,AMv,AD,LD,IMD,MD,SMT,PVT,PT,RE,RH,CM,CL,PF,RT,LGv,MH,LH,PVH,ARH,DMH,MEPO,MPO,PVp,PVpo,SBPV,AHN,MM,SUM,MPN,PMd,VMH,PH,LHA,LPO,RCH,STN,TU,SCs,ICc,ICd,ICe,SNr,VTA,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,CUN,RN,SNc,PPN,IPN,CLI,DR,NLL,PSV,PB,SOC,PCG,PG,PRNc,SUT,TRN,V,CS,NI,PRNr,DCO,VCO,NTS,SPVC,SPVI,SPVO,VII,AMB,GRN,IO,IRN,LRN,MARN,MDRNd,MDRNv,PARN,PGRNd,PGRNl,PRP,LAV,MV,SPIV,SUV,XII,RM,CENT,CUL,PYR,NOD,SIM,AN,PRM,PFL,FL,FN,IP,DN
0.359650348,6.852934276,8.521451809,0,0,0,0,0,0,0,1.028996476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.068047785,0,0.409267459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337082643,0,0,0,0,0,0,20.42150696,0,0,0,0,0,0,0,0,0,0,0,1.383545529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03508123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01614734,0.700050385,0.287701548,0.200722733,0.305427917,0.040966835,0.517740991,0.425012404,0,0.490743762,0.218852569,0.105516882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110828649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042347425,0,0,0,0,0,0,2.979688913,0,0.009989101,0,0,0,0,0,0,0.027715316,0,0,0.229198298,0.046441475,0.041996685,0,0,0,0,0,0.269792314,0.061018543,0.032830304,0.096248658,0.03412282,0,0.015309618,0,0,0,0,0,0,0,0.049742703,0,0,0,0,0,0,0.003769576,0.04896796,0,0,0,0,0.003310142,0.038644543,0.01060064,0.086368812,0.059375855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032190715,0,0,0,0,0,0.144502888,0.031604228,0.011039069,0.470510753,0.202991103,0,0.022059163,0,0.003825229,0.005758812,0,0.013577855,0.045995438,0,0.002356202,0.000829032,0.001040527,0,0,0.017027544,0,0,0.081910632,0.068415231,0.00931012,0.019958419,0.009095808,0.014622031,0,0.050102922,0,0,0.006910331,0,0,0.00690476,0,0,0.102207003,0.012393643,0.081237685,0,0.036208285,0,0.011688614,0.064186038,0.003046022,0.006757088,0,0,0,0,0,0,0.001277117,0,0,0,0,0,0,0,0,0,0,0,0
0.026308469,0.71546543,0.766859198,0,0.257252294,0.160466729,0,0,0.26067044,0,0,0,0.096419451,0,0.037920994,0.139234528,0,0,0.097865801,0,0,0.087716167,0,0,0,0.195970922,0,0.047453936,0,0,0,0,0,0,0.141753486,0.061922622,0.026755644,0.065530258,0,0.015631102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051588346,0,0,0,0,0,0,2.054376149,0,0,0,0,0,0,0,0,0,0,0,0.030990787,0,0,0,0,0,0,0,0.126919837,0.088736228,0.020029519,0,0,0,0.008213438,0.002310169,0,0,0,0,0,0,0.104567393,0.005604529,0.007613166,0.032559023,0.011279684,0,0,0.004112327,0.159692271,0.020810595,0,0,0,0.011895768,0.014234048,0.040442447,0.027992375,0.063484676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020058063,0,0,0,0,0,0.052413912,0.042019746,0.015372606,0.328661571,0.321921004,0.152645246,0.041065574,0,0.004798334,0.022259088,0,0,0.015921696,0.015852664,0.002527444,0,0.000812283,0,0,0.009706363,0,0.010276655,0.045555791,0.068952524,0,0.03508897,0,0.013528173,0,0.102504055,0,0,0,0,0,0,0,0,0,0,0,0,0.01570055,0,0,0,0,0,0,0,0,0,0.002697737,0,0.000797608,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.319676641,0,0,0.383012454,0.214072572,0.262145636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.594819987,0,0,0,0,0,0,0,0,0,0,0,0,0.08097684,0,0,0,0,0,0,0.11728496,0,0,0.126362908,0.060397698,0,0.018872423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054434987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085505386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061842248,0,0,0,0,0,0,0,0,0,0,0,0,0.012653688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.015245645,0.864803415,0.635017188,0,1.182229505,0.125024894,0,0.320129556,0.373456763,0.471226236,0,0,0.196712173,0,0.079813481,0.088056258,0,0,0,0,0,0,0,0,0,0.046098766,0,0.042501923,0,0,0,0,0,0,0.097784813,0.127575264,0.032992069,0.071293528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.340148917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01720464,0.10531827,0.208089188,0,0,0.029920711,0,0.005881157,0,0,0.008835298,0,0,0.165386037,0.015214026,0,0,0,0,0,0,0,0.009228704,0,0,0,0.005610979,0,0.012064659,0.017303442,0.076555373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023176128,0,0.00743223,0.241784413,0.330338249,0,0.080679973,0,0.006778333,0.018219845,0,0,0,0,0,0,0,0,0,0,0,0,0.043857153,0,0,0.017926032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011872346,0,0,0,0,0,0.002731689,0,0,0,0,0,0.000290692,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.363184189,0,0,0.225355276,0,0,0.739156385,0,0,0,0.202871737,0.218855565,0.156234635,0,0,0,0,0,0,0.133921433,0,0,0,0,0,0.039786031,0,0,0,0,0,0,0.10012598,0.073663786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703173031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155300952,0,0,0.001758935,0.022677341,0,0,0,0,0.005186163,0,0.02462897,0.118497619,0.013483005,0,0.009889265,0.002415671,0,0,0,0,0,0,0,0,0.003515243,0,0.015818023,0,0.115507498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038788325,0.037392156,0,0,0,0,0.174680835,0.086110339,0,0.003774975,0.026458456,0,0.036423696,0,0.017528399,0,0,0,0,0,0,0,0.01853351,0.023156794,0.049351812,0,0.045437201,0,0.013726376,0.003425831,0.144456285,0,0,0,0,0,0,0,0,0,0.018083047,0,0.009287711,0.035481014,0,0,0,0,0.012159579,0.006500974,0,0.010229509,0,0.003622494,0,0,0,0,0,0,0,0,0,0,0,0.000680677,0,0
0.024566843,1.25797724,0.391631041,0.223080402,0,0,0.898686063,0.650410838,0,0.606087189,0,0.146389674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.626705673,0,0,0,0,0,0,0,0,0,0,0,0.162827691,0.078487058,0,0,0,0,0,0,0.274413872,0,0.038365109,0.138191942,0.026011538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033637762,0.076145721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013366958,0,0,0,0,0,0.04469988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026011324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009189171,1.160082317,0.266870094,0,0.584574589,0.220437479,0.091839886,0.655144343,0,0.438054767,0,0,0,0,0.227774313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02338217,0,0,0,0,0,0,2.313531998,0,0,0,0,0,0,0,0,0,0,0,0.103452281,0.021032259,0,0,0,0,0,0,0.136354887,0.021276222,0.072145621,0.132367467,0,0,0,0,0,0,0,0,0,0,0.08375263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054846908,0.042339007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019376681,0,0,0,0,0,0.097500626,0,0,0.250969831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051881207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012870858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000421102,0,0,0,0,0,0,0,0,0,0,0,0
0,0.450066225,0.313181344,0,0.191145662,0.503449795,0,0,0.422787645,0,0,0,0.28637347,0.182105612,0.136896782,0.072783704,0,0,0,0,0,0.081039759,0,0,0,0,0,0.036026659,0,0,0,0,0,0,0.231507044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.131403456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021134634,0.17128488,0.056342992,0,0,0.027847583,0,0.003991882,0,0,0.009922601,0.00660363,0.052923612,0.178998981,0.01812967,0,0,0.00291467,0,0.038600327,0,0,0.010880936,0,0,0,0.005679131,0,0.016419926,0,0.149657575,0.009498111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049116289,0.029387345,0,0,0.179199731,0.435756408,0.123731915,0.134655305,0,0.009415685,0.024136711,0,0.012882087,0,0,0,0,0,0,0,0,0,0.006327428,0.040065449,0,0,0.01835166,0,0.008003343,0.001672192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012645641,0.828155636,0.250508001,0.304488081,0.901442818,0.099867863,0.778088332,0.569561996,0,0.82204246,0.179748715,0.368155024,0,0,0.037101143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10565857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047579762,0,0,0,0,0,0,1.665066333,0,0,0,0,0,0,0,0,0,0,0,0.137512546,0.027557382,0,0,0,0,0,0,0.135879393,0.017468289,0.09796031,0.257416543,0.038033513,0,0.015644156,0,0,0,0,0.006984824,0,0,0.115678376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007283344,0.0419993,0.055995453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009210767,0,0,0,0,0,0,0,0,0.176906323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033291093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015340902,0,0,0,0,0,0,0,0,0,0,0,0.000398338,0,0,0,0,0,0,0,0,0,0,0,0
